event_time,open,close,high,low,volume
1562360700000,0.0037202,0.0037165,0.0037202,0.0037165,101512
1562360760000,0.0037251,0.0037299,0.00373,0.0036906,1139950
1562360820000,0.00373,0.00373,0.003735,0.00373,378857
1562360880000,0.00373,0.003735,0.003735,0.00373,121989
1562360940000,0.00373,0.00373,0.00373,0.00373,151175
1562361000000,0.0037348,0.003735,0.003735,0.0037348,76568
1562361060000,0.003735,0.003735,0.003735,0.0037349,816864
1562361120000,0.003735,0.003735,0.003735,0.003735,56198
1562361180000,0.003735,0.0037383,0.0037383,0.0037059,143656
1562361240000,0.0037383,0.0037384,0.0037384,0.0037383,353919
1562361300000,0.0037384,0.0037346,0.0037384,0.0037346,379909
1562361360000,0.0037325,0.003717,0.0037325,0.0037166,95268
1562361420000,0.0037258,0.0037109,0.0037284,0.0037109,225803
1562361480000,0.0037297,0.0037299,0.00373,0.0037297,419501
1562361540000,0.00373,0.00373,0.00373,0.0037297,322747
1562361600000,0.00373,0.00373,0.0037375,0.00373,878002
1562361660000,0.003733,0.0037324,0.0037397,0.0037264,610522
1562361720000,0.0037328,0.0037332,0.0037332,0.0037328,308600
1562361780000,0.0037396,0.0037396,0.0037396,0.0037396,32365
1562361840000,0.0037385,0.0037397,0.0037397,0.0037385,124997
1562361900000,0.0037396,0.0037396,0.0037396,0.0037396,148134
1562361960000,0.0037396,0.0037398,0.0037398,0.0037342,205607
1562362020000,0.0037398,0.0037315,0.0037398,0.0037303,2427264
1562362080000,0.0037357,0.0037426,0.0037426,0.0037357,768978
1562362140000,0.0037426,0.0037407,0.00375,0.0037407,2609330
1562362200000,0.0037421,0.0037416,0.0037422,0.0037266,781635
1562362260000,0.0037389,0.0037389,0.0037389,0.0037389,7238
1562362320000,0.0037389,0.003735,0.0037389,0.003735,88874
1562362380000,0.003735,0.0037356,0.0037356,0.0037318,488680
1562362440000,0.0037391,0.003741,0.003741,0.0037293,1236539
1562362500000,0.003741,0.0037283,0.003741,0.003725,1030466
1562362560000,0.003732,0.0037247,0.0037322,0.0037247,673225
1562362620000,0.0037247,0.0037265,0.0037265,0.0037223,767080
1562362680000,0.0037265,0.0037304,0.003746,0.0037208,1170121
1562362740000,0.0037304,0.0037369,0.0037369,0.0037301,120812
1562362800000,0.0037369,0.0037435,0.0037435,0.00372,374756
1562362860000,0.0037432,0.0037315,0.0037432,0.0037301,1936919
1562362920000,0.003737,0.0037242,0.0037431,0.0037242,819494
1562362980000,0.0037241,0.0037233,0.0037241,0.0037124,1383349
1562363040000,0.0037192,0.0037253,0.0037253,0.0037115,1104502
1562363100000,0.0037148,0.0037068,0.0037226,0.00369,2127656
1562363160000,0.0037072,0.0036975,0.0037099,0.0036975,720552
1562363220000,0.0036975,0.0036875,0.0036977,0.0036875,687647
1562363280000,0.0036875,0.0036851,0.0036949,0.003685,1975245
1562363340000,0.0036849,0.003681,0.0036929,0.0036805,1275747
1562363400000,0.0036809,0.0036937,0.0037352,0.0036767,2621133
1562363460000,0.003694,0.0037072,0.003779,0.0036939,2252961
1562363520000,0.0037069,0.0037084,0.0037084,0.0036961,1050752
1562363580000,0.0037039,0.0037004,0.0037039,0.0037004,307937
